id,time,year,month,year_month,mag,place,country,iso_a3,dist_km,shake_proxy
usp000f5fk,2007-02-23 14:48:20+00:00,2007,2,2007-02,4.9,"19 km NW of Petit Valley, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,202.0920686313035,102.60361178284285
usp000f5rs,2007-02-27 09:42:40.610000+00:00,2007,2,2007-02,5.0,"30 km E of Parham, Antigua and Barbuda",Saint Vincent and the Grenadines,VCT,431.5797988488345,36.54570752932627
usp000f6kf,2007-03-12 23:23:51.600000+00:00,2007,3,2007-03,4.5,"33 km NNE of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,212.25788676350655,61.530133192084435
usp000f7ru,2007-03-29 05:24:44.370000+00:00,2007,3,2007-03,4.7,"49 km NW of Speightstown, Barbados",Saint Vincent and the Grenadines,VCT,134.97663093107357,113.9992436679294
usp000fa8f,2007-04-21 09:47:58.130000+00:00,2007,4,2007-04,4.6,"35 km WNW of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,247.69238048513373,57.828620151632286
usp000fcy0,2007-05-28 18:24:28.940000+00:00,2007,5,2007-05,4.5,"65 km W of Pointe-Noire, Guadeloupe",Saint Vincent and the Grenadines,VCT,351.29947896578733,30.70173183015125
usp000fg60,2007-07-14 18:11:51.190000+00:00,2007,7,2007-07,4.6,"22 km NW of Anse-Bertrand, Guadeloupe",Saint Vincent and the Grenadines,VCT,378.4757200534531,30.071176259726847
usp000fg9v,2007-07-16 01:32:18.900000+00:00,2007,7,2007-07,4.9,"8 km NW of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,243.547306824186,83.39571621479239
usp000fjvs,2007-08-16 07:20:26.760000+00:00,2007,8,2007-08,4.9,"144 km NE of Beauséjour, Guadeloupe",Saint Vincent and the Grenadines,VCT,471.67937804603014,26.653929485542967
usp000fkbq,2007-08-21 03:57:48.420000+00:00,2007,8,2007-08,4.5,"6 km NE of Marigot, Dominica",Saint Vincent and the Grenadines,VCT,253.1857590602187,50.14343827811894
usp000fn3z,2007-09-13 06:37:22.700000+00:00,2007,9,2007-09,5.0,"58 km ESE of Le Marin, Martinique",Saint Vincent and the Grenadines,VCT,130.194979213971,164.9245070904322
usp000fs3p,2007-11-07 06:30:34.210000+00:00,2007,11,2007-11,4.8,"45 km NE of La Trinité, Martinique",Saint Vincent and the Grenadines,VCT,192.96682971088117,95.7145260820269
usp000ftfj,2007-11-28 14:18:11.190000+00:00,2007,11,2007-11,4.8,"63 km NE of Sainte-Marie, Martinique",Saint Vincent and the Grenadines,VCT,214.19080829383944,86.07768321406346
usp000ftj1,2007-11-29 19:00:20.420000+00:00,2007,11,2007-11,7.4,"18 km WNW of Basse-Pointe, Martinique",Saint Vincent and the Grenadines,VCT,179.77734964591377,2039.9449391237597
usp000ftj6,2007-11-29 19:34:46.280000+00:00,2007,11,2007-11,5.1,Leeward Islands,Saint Vincent and the Grenadines,VCT,197.75617262789132,132.0012145915745
usp000ftj8,2007-11-29 20:11:11.040000+00:00,2007,11,2007-11,4.5,"21 km S of Berekua, Dominica",Saint Vincent and the Grenadines,VCT,190.7336296664658,68.52155113551808
usp000ftj9,2007-11-29 20:17:06.680000+00:00,2007,11,2007-11,4.5,Leeward Islands,Saint Vincent and the Grenadines,VCT,198.2169609029637,66.00507643311225
usp000ftjt,2007-11-30 04:00:00.230000+00:00,2007,11,2007-11,5.0,"22 km SSE of Berekua, Dominica",Saint Vincent and the Grenadines,VCT,190.2277963225768,122.15903371356168
usp000ftvv,2007-12-05 12:11:23.080000+00:00,2007,12,2007-12,5.2,"19 km S of Berekua, Dominica",Saint Vincent and the Grenadines,VCT,192.72879313594814,151.8779558215265
usp000fub3,2007-12-12 20:31:31.100000+00:00,2007,12,2007-12,4.9,"14 km NW of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,243.23925456518617,83.52426638365715
usp000fubb,2007-12-13 00:18:28.890000+00:00,2007,12,2007-12,4.6,"11 km WNW of Gros Islet, Saint Lucia",Saint Vincent and the Grenadines,VCT,84.13886286130642,131.0070841971415
usp000fv4j,2007-12-24 02:32:46.930000+00:00,2007,12,2007-12,4.6,"25 km WNW of Basse-Pointe, Martinique",Saint Vincent and the Grenadines,VCT,185.02026148340255,79.1104048413968
usp000fyaz,2008-02-06 18:37:57.870000+00:00,2008,2,2008-02,5.3,"66 km ENE of La Trinité, Martinique",Saint Vincent and the Grenadines,VCT,204.245655527103,160.8741236973452
usp000fyuk,2008-02-13 20:06:40.690000+00:00,2008,2,2008-02,4.8,"28 km S of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,272.37596151028737,64.34919444549615
usp000fz2y,2008-02-17 01:50:08.850000+00:00,2008,2,2008-02,4.5,"24 km WNW of Saint-Pierre, Martinique",Saint Vincent and the Grenadines,VCT,166.45867896609914,77.36411668740644
usp000g13h,2008-03-09 22:17:09.310000+00:00,2008,3,2008-03,4.5,"30 km WNW of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,253.83577397976293,49.98073290864412
usp000g1v8,2008-03-20 15:28:18.960000+00:00,2008,3,2008-03,4.7,"18 km SSW of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,265.5457051178263,59.34372833563732
usp000g289,2008-03-24 13:30:18.970000+00:00,2008,3,2008-03,4.6,"40 km NNW of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,221.8345423300308,65.81007895678754
usp000g7dc,2008-05-21 11:43:17.490000+00:00,2008,5,2008-05,4.6,"37 km E of Grand-Bourg, Guadeloupe",Saint Vincent and the Grenadines,VCT,290.1299867996065,46.77251667490602
usp000gap7,2008-06-27 05:08:11.640000+00:00,2008,6,2008-06,5.2,"64 km N of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,195.2231544333316,149.9955263949526
usp000gatu,2008-06-28 08:03:47.630000+00:00,2008,6,2008-06,4.6,"20 km N of Basse-Pointe, Martinique",Saint Vincent and the Grenadines,VCT,192.3399709693354,76.2674208106083
usp000gb74,2008-07-03 06:34:53.700000+00:00,2008,7,2008-07,5.8,"80 km E of Rio Claro, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,284.2800766124954,191.73158260154472
usp000gc5v,2008-07-14 17:31:30.020000+00:00,2008,7,2008-07,4.6,"78 km ESE of Sangre Grande, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,268.22697160522955,52.185822368401844
usp000gedr,2008-08-11 07:19:26.400000+00:00,2008,8,2008-08,5.2,"6 km N of Cumaná, Venezuela",Saint Vincent and the Grenadines,VCT,383.12399724676607,58.62148429289804
usp000gfc3,2008-08-23 21:53:13.490000+00:00,2008,8,2008-08,4.9,"53 km ESE of Sangre Grande, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,255.20144719295922,78.67506285506757
usp000gg74,2008-09-02 06:18:57.010000+00:00,2008,9,2008-09,4.7,"49 km E of Dennery, Saint Lucia",Saint Vincent and the Grenadines,VCT,96.59545088020434,138.11652516732516
usp000gmmf,2008-11-01 17:25:08.260000+00:00,2008,11,2008-11,4.5,"30 km WNW of Bolands, Antigua and Barbuda",Saint Vincent and the Grenadines,VCT,450.193099189538,18.72483960019542
usp000gmpc,2008-11-02 08:05:21.410000+00:00,2008,11,2008-11,4.8,"20 km E of Market Shop, Saint Kitts and Nevis",Saint Vincent and the Grenadines,VCT,453.654084689685,25.995769148880928
usp000gqbz,2008-12-10 21:33:29.060000+00:00,2008,12,2008-12,4.8,"64 km ESE of Beauséjour, Guadeloupe",Saint Vincent and the Grenadines,VCT,308.15799325728244,53.807575020787915
usp000gr3x,2008-12-21 12:55:38.660000+00:00,2008,12,2008-12,4.9,"18 km NW of Petit Valley, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,201.88864541142803,102.70802465924878
usp000gtfg,2009-02-05 06:08:04.090000+00:00,2009,2,2009-02,4.5,"53 km ESE of Beauséjour, Guadeloupe",Saint Vincent and the Grenadines,VCT,317.5868371867835,36.338663088153965
usp000gvgv,2009-03-28 13:10:16.400000+00:00,2009,3,2009-03,4.5,near the coast of Venezuela,Saint Vincent and the Grenadines,VCT,282.0771494788167,43.39875316785972
usp000gvmr,2009-04-01 02:03:25.220000+00:00,2009,4,2009-04,4.6,"9 km SSE of Sangre Grande, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,239.03200326852777,60.387715442642225
usp000gvrc,2009-04-04 09:24:33.810000+00:00,2009,4,2009-04,4.9,"12 km SSW of Rio Claro, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,270.75369253194395,72.78901239529374
usp000gxf8,2009-05-24 05:13:22.850000+00:00,2009,5,2009-05,4.6,"78 km ENE of Crane, Barbados",Saint Vincent and the Grenadines,VCT,260.5665624913807,54.22341907779644
usp000gxm1,2009-05-28 16:28:08.880000+00:00,2009,5,2009-05,4.6,"65 km ENE of La Trinité, Martinique",Saint Vincent and the Grenadines,VCT,207.25673216798222,70.78605747916619
usp000h1pe,2009-09-19 23:10:02.080000+00:00,2009,9,2009-09,4.8,"36 km WNW of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,249.07508131116808,72.30033890452465
usp000h2zx,2009-10-15 07:53:46.280000+00:00,2009,10,2009-10,4.6,"130 km ENE of La Trinité, Martinique",Saint Vincent and the Grenadines,VCT,264.40036427240744,53.19390874534141
usp000h3zx,2009-11-12 23:03:39.880000+00:00,2009,11,2009-11,4.7,"60 km E of Codrington, Antigua and Barbuda",Saint Vincent and the Grenadines,VCT,483.6424992730931,19.942686251203995
usp000h4b4,2009-11-22 22:51:00.100000+00:00,2009,11,2009-11,5.2,"34 km SSE of Rio Claro, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,294.079171094457,91.49875689225881
usp000h4b5,2009-11-22 23:34:16.340000+00:00,2009,11,2009-11,5.2,"30 km SSE of Rio Claro, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,289.71438458452,93.51756867041222
usp000h4h9,2009-11-28 08:18:35.640000+00:00,2009,11,2009-11,5.0,"138 km ENE of Le Vauclin, Martinique",Saint Vincent and the Grenadines,VCT,253.63792359633425,88.96767615590413
usp000h5bv,2009-12-25 15:26:24.700000+00:00,2009,12,2009-12,4.9,"21 km SSW of Soufrière, Dominica",Saint Vincent and the Grenadines,VCT,193.74022910724412,106.9789763342551
usp000h5r5,2010-01-05 03:36:16.400000+00:00,2010,1,2010-01,4.8,"34 km NNW of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,224.21275584306596,81.87064027355387
usp000h65y,2010-01-15 18:00:46.700000+00:00,2010,1,2010-01,5.6,"33 km SW of Carúpano, Venezuela",Saint Vincent and the Grenadines,VCT,330.45013415892555,120.9028813192591
usp000h6f2,2010-01-21 17:11:22.230000+00:00,2010,1,2010-01,4.7,"4 km WSW of Castle Bruce, Dominica",Saint Vincent and the Grenadines,VCT,235.56523292215465,68.94084402631597
usp000h6k3,2010-01-24 22:43:23.180000+00:00,2010,1,2010-01,5.0,"34 km SSE of Beauséjour, Guadeloupe",Saint Vincent and the Grenadines,VCT,306.0958040983101,68.44179746124067
usp000hbrn,2010-04-21 19:29:28.880000+00:00,2010,4,2010-04,4.6,"26 km S of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,270.2417694454943,51.662742133456426
usp000hc82,2010-05-02 21:21:51.200000+00:00,2010,5,2010-05,4.6,"39 km NNE of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,206.49386386074738,71.05657527403687
usp000hcfj,2010-05-07 23:12:10.910000+00:00,2010,5,2010-05,5.2,Leeward Islands,Saint Vincent and the Grenadines,VCT,365.4272196362725,64.04494763170945
usp000heq1,2010-06-29 18:48:26.520000+00:00,2010,6,2010-06,4.5,"27 km N of Basse-Pointe, Martinique",Saint Vincent and the Grenadines,VCT,199.95104199748215,65.43525949882584
usp000heyx,2010-07-06 13:47:49.640000+00:00,2010,7,2010-07,5.0,"29 km SW of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,276.14766548072504,79.49740702427286
usp000hhp3,2010-08-06 17:49:31.620000+00:00,2010,8,2010-08,4.7,"150 km NE of Greenland, Barbados",Saint Vincent and the Grenadines,VCT,292.47258162757754,51.86852027555251
usp000hj4g,2010-08-14 08:40:40.690000+00:00,2010,8,2010-08,5.2,"79 km N of Güiria, Venezuela",Saint Vincent and the Grenadines,VCT,180.86667777266925,161.15841944684846
usp000hj9v,2010-08-16 04:30:15.920000+00:00,2010,8,2010-08,4.5,"13 km ESE of La Plaine, Dominica",Saint Vincent and the Grenadines,VCT,220.03133565023336,59.18450578243086
usp000hmy5,2010-10-10 13:50:17.980000+00:00,2010,10,2010-10,4.5,"7 km WNW of Roseau, Dominica",Saint Vincent and the Grenadines,VCT,224.43479546310635,57.8956632985261
usp000hs32,2010-12-27 01:00:14.330000+00:00,2010,12,2010-12,5.0,"10 km WNW of Petit Valley, Trinidad and Tobago",Saint Vincent and the Grenadines,VCT,211.46920720798298,109.85009860300588
usp000htef,2011-01-21 03:37:16.710000+00:00,2011,1,2011-01,5.0,"35 km SW of Oranjestad, Bonaire, Saint Eustatius and Saba ",Saint Vincent and the Grenadines,VCT,498.0466450935438,26.212319417188056
