iso3,country,year,month,year_month,date,n_storms,storm_names,storm_ids,n_track_points_near_country,monthly_max_wind_kt,monthly_max_wind_mps
AIA,Anguilla,2024,4,2024-04,2024-04-01,0,,,0,0.0,0.0
AIA,Anguilla,2024,5,2024-05,2024-05-01,0,,,0,0.0,0.0
AIA,Anguilla,2024,6,2024-06,2024-06-01,0,,,0,0.0,0.0
AIA,Anguilla,2024,7,2024-07,2024-07-01,0,,,0,0.0,0.0
AIA,Anguilla,2024,8,2024-08,2024-08-01,0,,,0,0.0,0.0
AIA,Anguilla,2024,9,2024-09,2024-09-01,0,,,0,0.0,0.0
AIA,Anguilla,2024,10,2024-10,2024-10-01,0,,,0,0.0,0.0
AIA,Anguilla,2024,11,2024-11,2024-11-01,0,,,0,0.0,0.0
AIA,Anguilla,2024,12,2024-12,2024-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,1,2017-01,2017-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,2,2017-02,2017-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,3,2017-03,2017-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,4,2017-04,2017-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,5,2017-05,2017-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,6,2017-06,2017-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,7,2017-07,2017-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,8,2017-08,2017-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,9,2017-09,2017-09-01,1,IRMA,2017242N16333,2,155.0,79.73882
ATG,Antigua and Barbuda,2017,10,2017-10,2017-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,11,2017-11,2017-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2017,12,2017-12,2017-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,1,2018-01,2018-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,2,2018-02,2018-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,3,2018-03,2018-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,4,2018-04,2018-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,5,2018-05,2018-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,6,2018-06,2018-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,7,2018-07,2018-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,8,2018-08,2018-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,9,2018-09,2018-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,10,2018-10,2018-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,11,2018-11,2018-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2018,12,2018-12,2018-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,1,2019-01,2019-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,2,2019-02,2019-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,3,2019-03,2019-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,4,2019-04,2019-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,5,2019-05,2019-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,6,2019-06,2019-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,7,2019-07,2019-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,8,2019-08,2019-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,9,2019-09,2019-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,10,2019-10,2019-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,11,2019-11,2019-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2019,12,2019-12,2019-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,1,2020-01,2020-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,2,2020-02,2020-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,3,2020-03,2020-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,4,2020-04,2020-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,5,2020-05,2020-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,6,2020-06,2020-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,7,2020-07,2020-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,8,2020-08,2020-08-01,1,LAURA,2020233N14313,3,40.0,20.57776
ATG,Antigua and Barbuda,2020,9,2020-09,2020-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,10,2020-10,2020-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,11,2020-11,2020-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2020,12,2020-12,2020-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,1,2021-01,2021-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,2,2021-02,2021-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,3,2021-03,2021-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,4,2021-04,2021-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,5,2021-05,2021-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,6,2021-06,2021-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,7,2021-07,2021-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,8,2021-08,2021-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,9,2021-09,2021-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,10,2021-10,2021-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,11,2021-11,2021-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2021,12,2021-12,2021-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,1,2022-01,2022-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,2,2022-02,2022-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,3,2022-03,2022-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,4,2022-04,2022-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,5,2022-05,2022-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,6,2022-06,2022-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,7,2022-07,2022-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,8,2022-08,2022-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,9,2022-09,2022-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,10,2022-10,2022-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,11,2022-11,2022-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2022,12,2022-12,2022-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,1,2023-01,2023-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,2,2023-02,2023-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,3,2023-03,2023-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,4,2023-04,2023-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,5,2023-05,2023-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,6,2023-06,2023-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,7,2023-07,2023-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,8,2023-08,2023-08-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,9,2023-09,2023-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,10,2023-10,2023-10-01,2,PHILIPPE | TAMMY,2023266N16323 | 2023292N13309,9,80.0,41.15552
ATG,Antigua and Barbuda,2023,11,2023-11,2023-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2023,12,2023-12,2023-12-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,1,2024-01,2024-01-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,2,2024-02,2024-02-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,3,2024-03,2024-03-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,4,2024-04,2024-04-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,5,2024-05,2024-05-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,6,2024-06,2024-06-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,7,2024-07,2024-07-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,8,2024-08,2024-08-01,1,ERNESTO,2024225N14313,2,44.0,22.635536000000002
ATG,Antigua and Barbuda,2024,9,2024-09,2024-09-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,10,2024-10,2024-10-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,11,2024-11,2024-11-01,0,,,0,0.0,0.0
ATG,Antigua and Barbuda,2024,12,2024-12,2024-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,1,2017-01,2017-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,2,2017-02,2017-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,3,2017-03,2017-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,4,2017-04,2017-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,5,2017-05,2017-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,6,2017-06,2017-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,7,2017-07,2017-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,8,2017-08,2017-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,9,2017-09,2017-09-01,1,IRMA,2017242N16333,5,140.0,72.02216
BHS,Bahamas,2017,10,2017-10,2017-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,11,2017-11,2017-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2017,12,2017-12,2017-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,1,2018-01,2018-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,2,2018-02,2018-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,3,2018-03,2018-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,4,2018-04,2018-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,5,2018-05,2018-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,6,2018-06,2018-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,7,2018-07,2018-07-01,1,BERYL,2018186N10325,4,25.0,12.8611
BHS,Bahamas,2018,8,2018-08,2018-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,9,2018-09,2018-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,10,2018-10,2018-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,11,2018-11,2018-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2018,12,2018-12,2018-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,1,2019-01,2019-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,2,2019-02,2019-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,3,2019-03,2019-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,4,2019-04,2019-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,5,2019-05,2019-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,6,2019-06,2019-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,7,2019-07,2019-07-01,1,UNNAMED,2019204N25283,5,25.0,12.8611
BHS,Bahamas,2019,8,2019-08,2019-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,9,2019-09,2019-09-01,2,DORIAN | HUMBERTO,2019236N10314 | 2019256N23286,27,160.0,82.31104
BHS,Bahamas,2019,10,2019-10,2019-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,11,2019-11,2019-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2019,12,2019-12,2019-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,1,2020-01,2020-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,2,2020-02,2020-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,3,2020-03,2020-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,4,2020-04,2020-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,5,2020-05,2020-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,6,2020-06,2020-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,7,2020-07,2020-07-01,1,ISAIAS,2020211N13306,3,73.0,37.554412
BHS,Bahamas,2020,8,2020-08,2020-08-01,1,ISAIAS,2020211N13306,9,75.0,38.5833
BHS,Bahamas,2020,9,2020-09,2020-09-01,1,SALLY,2020256N25281,2,30.0,15.43332
BHS,Bahamas,2020,10,2020-10,2020-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2020,11,2020-11,2020-11-01,1,ETA,2020306N15288,1,55.0,28.294420000000002
BHS,Bahamas,2020,12,2020-12,2020-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,1,2021-01,2021-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,2,2021-02,2021-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,3,2021-03,2021-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,4,2021-04,2021-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,5,2021-05,2021-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,6,2021-06,2021-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,7,2021-07,2021-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,8,2021-08,2021-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,9,2021-09,2021-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,10,2021-10,2021-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,11,2021-11,2021-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2021,12,2021-12,2021-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,1,2022-01,2022-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,2,2022-02,2022-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,3,2022-03,2022-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,4,2022-04,2022-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,5,2022-05,2022-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,6,2022-06,2022-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,7,2022-07,2022-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,8,2022-08,2022-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,9,2022-09,2022-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,10,2022-10,2022-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2022,11,2022-11,2022-11-01,1,NICOLE,2022311N21293,7,65.0,33.43886
BHS,Bahamas,2022,12,2022-12,2022-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,1,2023-01,2023-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,2,2023-02,2023-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,3,2023-03,2023-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,4,2023-04,2023-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,5,2023-05,2023-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,6,2023-06,2023-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,7,2023-07,2023-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,8,2023-08,2023-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,9,2023-09,2023-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,10,2023-10,2023-10-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,11,2023-11,2023-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2023,12,2023-12,2023-12-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,1,2024-01,2024-01-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,2,2024-02,2024-02-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,3,2024-03,2024-03-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,4,2024-04,2024-04-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,5,2024-05,2024-05-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,6,2024-06,2024-06-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,7,2024-07,2024-07-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,8,2024-08,2024-08-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,9,2024-09,2024-09-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,10,2024-10,2024-10-01,1,OSCAR,2024293N21294,7,73.0,37.554412
BHS,Bahamas,2024,11,2024-11,2024-11-01,0,,,0,0.0,0.0
BHS,Bahamas,2024,12,2024-12,2024-12-01,0,,,0,0.0,0.0
BRB,Barbados,2017,1,2017-01,2017-01-01,0,,,0,0.0,0.0
BRB,Barbados,2017,2,2017-02,2017-02-01,0,,,0,0.0,0.0
BRB,Barbados,2017,3,2017-03,2017-03-01,0,,,0,0.0,0.0
BRB,Barbados,2017,4,2017-04,2017-04-01,0,,,0,0.0,0.0
BRB,Barbados,2017,5,2017-05,2017-05-01,0,,,0,0.0,0.0
BRB,Barbados,2017,6,2017-06,2017-06-01,0,,,0,0.0,0.0
BRB,Barbados,2017,7,2017-07,2017-07-01,0,,,0,0.0,0.0
BRB,Barbados,2017,8,2017-08,2017-08-01,1,HARVEY,2017228N14314,2,40.0,20.57776
BRB,Barbados,2017,9,2017-09,2017-09-01,0,,,0,0.0,0.0
BRB,Barbados,2017,10,2017-10,2017-10-01,0,,,0,0.0,0.0
BRB,Barbados,2017,11,2017-11,2017-11-01,0,,,0,0.0,0.0
BRB,Barbados,2017,12,2017-12,2017-12-01,0,,,0,0.0,0.0
BRB,Barbados,2018,1,2018-01,2018-01-01,0,,,0,0.0,0.0
BRB,Barbados,2018,2,2018-02,2018-02-01,0,,,0,0.0,0.0
BRB,Barbados,2018,3,2018-03,2018-03-01,0,,,0,0.0,0.0
BRB,Barbados,2018,4,2018-04,2018-04-01,0,,,0,0.0,0.0
BRB,Barbados,2018,5,2018-05,2018-05-01,0,,,0,0.0,0.0
BRB,Barbados,2018,6,2018-06,2018-06-01,0,,,0,0.0,0.0
BRB,Barbados,2018,7,2018-07,2018-07-01,0,,,0,0.0,0.0
BRB,Barbados,2018,8,2018-08,2018-08-01,0,,,0,0.0,0.0
BRB,Barbados,2018,9,2018-09,2018-09-01,0,,,0,0.0,0.0
BRB,Barbados,2018,10,2018-10,2018-10-01,0,,,0,0.0,0.0
BRB,Barbados,2018,11,2018-11,2018-11-01,0,,,0,0.0,0.0
BRB,Barbados,2018,12,2018-12,2018-12-01,0,,,0,0.0,0.0
BRB,Barbados,2019,1,2019-01,2019-01-01,0,,,0,0.0,0.0
BRB,Barbados,2019,2,2019-02,2019-02-01,0,,,0,0.0,0.0
BRB,Barbados,2019,3,2019-03,2019-03-01,0,,,0,0.0,0.0
BRB,Barbados,2019,4,2019-04,2019-04-01,0,,,0,0.0,0.0
BRB,Barbados,2019,5,2019-05,2019-05-01,0,,,0,0.0,0.0
BRB,Barbados,2019,6,2019-06,2019-06-01,0,,,0,0.0,0.0
BRB,Barbados,2019,7,2019-07,2019-07-01,0,,,0,0.0,0.0
BRB,Barbados,2019,8,2019-08,2019-08-01,1,DORIAN,2019236N10314,3,45.0,23.14998
